# GitHub repository metadata for exact current WebMCP API code matches
# Source query: document.modelContext.registerTool
# Snapshot date: 2026-09-02 (Asia/Kolkata)
# Scope: distinct repositories represented in GitHub's capped first 1,000 code-search results.
# Important: stars measure repository reach, not the maturity of its WebMCP integration; forks and vendored WPT copies remain labelled.
# Columns: repo, stars, forks, is_fork, created_at, updated_at, primary_language, description, homepage, github_url
repo	stars	forks	is_fork	created_at	updated_at	primary_language	description	homepage	github_url
diazaraujo/monitor-integridad-administrativa	0	0	false	2026-08-31T14:07:00Z	2026-09-01T16:06:10Z	TypeScript	Plataforma de integridad administrativa municipal: patentes comerciales, expedientes de revisión, evidencia y acciones auditables		https://github.com/diazaraujo/monitor-integridad-administrativa
Dieclerc/Cantiere_Live	0	0	false	2026-08-28T08:34:24Z	2026-09-01T09:34:17Z	TypeScript	Cantiere Live: your quote editor and your AI agent, working the same page together — add materials, calculate margins, and finalize with one human click	https://cantierelive.vercel.app	https://github.com/Dieclerc/Cantiere_Live
DJLougen/flylab	0	0	false	2026-08-26T13:48:14Z	2026-08-27T16:12:02Z	TypeScript	A scientifically transparent WebMCP virtual Drosophila neuroethology lab.	https://flylab-neuroethology.d-lougen.chatgpt.site/	https://github.com/DJLougen/flylab
doggy8088/agentready	0	0	false	2026-08-28T20:32:50Z	2026-08-31T21:15:30Z	TypeScript	One JavaScript file. Make any website agent-ready — semantic HTML becomes safe, structured WebMCP tools for ChatGPT, Chrome and in-page agents.		https://github.com/doggy8088/agentready
dozbabakuba-dotcom/eidas-tools-webmcp-challenge	0	0	false	2026-09-02T09:00:43Z	2026-09-02T09:06:02Z	JavaScript	Isolated public WebMCP Challenge edition of eidas.tools		https://github.com/dozbabakuba-dotcom/eidas-tools-webmcp-challenge
EfeAkkurt/cycase	0	1	false	2026-08-31T17:07:59Z	2026-09-02T05:52:12Z	TypeScript			https://github.com/EfeAkkurt/cycase
emingure/simple-webmcp	0	0	false	2026-08-29T15:22:38Z	2026-08-30T19:20:40Z	TypeScript	Make your existing functions agent-ready — wrap any JS/TS function with webmcp(fn). Function-first, typed & lean (6KB gz). One function, two interfaces.	https://emingure.github.io/simple-webmcp/	https://github.com/emingure/simple-webmcp
EndPx/pixelforge	0	0	false	2026-09-01T07:35:48Z	2026-09-02T09:28:01Z	TypeScript	Agent-native pixel art studio — humans and AI agents collaborate on the same canvas via WebMCP (WebMCP Challenge submission)	https://pixelforge-webmcp.netlify.app	https://github.com/EndPx/pixelforge
eralabs-ai/ora-nextjs-plugin	0	0	false	2026-07-16T09:15:49Z	2026-08-28T14:51:15Z	TypeScript			https://github.com/eralabs-ai/ora-nextjs-plugin
eric861129/AgentReady-Events-V2	0	0	false	2026-07-18T07:13:36Z	2026-07-22T03:18:23Z	TypeScript	AgentReady Events V2：iThome WebMCP 系列的版本化讀者範例專案。		https://github.com/eric861129/AgentReady-Events-V2
erichuang777777/TrialBridge-TW	0	0	false	2026-09-01T12:12:33Z	2026-09-02T05:53:57Z	TypeScript			https://github.com/erichuang777777/TrialBridge-TW
eryajf/eryajf-used-skills	0	1	false	2026-06-17T15:35:21Z	2026-08-06T08:21:10Z	Python	my used skills		https://github.com/eryajf/eryajf-used-skills
evolvingsam/casefile	0	0	false	2026-08-31T12:27:14Z	2026-09-01T21:57:48Z	TypeScript		https://casefile-pi.vercel.app	https://github.com/evolvingsam/casefile
ewards/aule	0	0	false	2026-08-31T14:53:15Z	2026-09-02T05:31:46Z	Shell			https://github.com/ewards/aule
f0909172434/finite-witness-webmcp	0	0	false	2026-08-30T16:27:42Z	2026-09-02T01:11:22Z	JavaScript	An agent-ready finite graph conjecture laboratory built with WebMCP.	https://f0909172434.github.io/finite-witness-webmcp/	https://github.com/f0909172434/finite-witness-webmcp
FaxanFM/webmcp-deadbolt	0	0	false	2026-08-31T20:33:15Z	2026-08-31T20:53:50Z	JavaScript	Fail-closed capability gating, structured refusals, and adversarial evaluations for WebMCP commerce tools.		https://github.com/FaxanFM/webmcp-deadbolt
feruz-bb/WebMCP_OpenAI	0	0	false	2026-08-28T14:43:34Z	2026-08-28T14:48:19Z	Python			https://github.com/feruz-bb/WebMCP_OpenAI
FieldstateNZ/workspec-studio	0	0	false	2026-07-06T23:15:10Z	2026-09-02T08:42:18Z	TypeScript	The open WorkSpec monorepo: costed architecture decisions (live) and C4 diagram tooling (in progress).		https://github.com/FieldstateNZ/workspec-studio
fivedollarfridays/ladder	0	0	false	2026-09-01T01:05:21Z	2026-09-01T20:22:55Z	Python	A tiered question deck an agent can read, search and build from — but cannot bluff past. WebMCP tools over a finite, remembering deck.		https://github.com/fivedollarfridays/ladder
fozagtx/Quild	0	0	false	2026-08-27T21:22:09Z	2026-08-28T09:22:15Z	TypeScript	Just in time content writing for startup founders.		https://github.com/fozagtx/Quild
gavinwunz/frontieropensearch	0	0	false	2026-08-18T10:42:02Z	2026-08-18T20:31:20Z	JavaScript	An independent fork of Firefox rebuilt around a spatial Field, branching Trails, and a local Context Engine.		https://github.com/gavinwunz/frontieropensearch
gene9831/opentiny-next-integration-guide	0	0	false	2026-08-25T13:26:21Z	2026-08-25T13:39:23Z		OpenTiny AI application integration guide covering TinyRobot, GenUI, WebMCP, business Skills, and PageTool.		https://github.com/gene9831/opentiny-next-integration-guide
Genviral/webmcp-creative-review-room	0	0	false	2026-08-30T01:29:24Z	2026-08-30T03:57:14Z	TypeScript	Human-in-the-loop creative review workspace built with WebMCP.	https://webmcp-creative-review-room.vercel.app	https://github.com/Genviral/webmcp-creative-review-room
GharsallahDev/bridge	0	0	false	2026-08-30T17:54:25Z	2026-08-30T17:54:59Z	TypeScript	The incident war-room where your agent responds with you — WebMCP-native: citation-gated comms, confirmation cards, deterministic game-day drills	https://bridge-webmcp.vercel.app	https://github.com/GharsallahDev/bridge
GharsallahDev/cahoots	0	0	false	2026-08-29T21:53:56Z	2026-08-29T21:54:20Z	TypeScript	An escape room you can only beat in cahoots with your AI agent — built on WebMCP for the WebMCP Challenge	https://cahoots-vault.vercel.app	https://github.com/GharsallahDev/cahoots
gjtorikian/loopmate	0	0	false	2026-09-01T23:31:25Z	2026-09-01T23:34:16Z	TypeScript			https://github.com/gjtorikian/loopmate
Grenguar/switchback	0	0	false	2026-08-27T10:25:21Z	2026-09-01T18:42:40Z	TypeScript			https://github.com/Grenguar/switchback
h3y6e/agent-skills	0	0	false	2026-04-20T05:46:28Z	2026-09-02T09:34:21Z	JavaScript	my agent skills		https://github.com/h3y6e/agent-skills
harsh543/pulse-webmcp	0	0	false	2026-08-31T19:53:56Z	2026-08-31T21:55:03Z	TypeScript	A WebMCP-driven drum loop pad — play by hand, steer by voice. Built for the OpenAI WebMCP Challenge.		https://github.com/harsh543/pulse-webmcp
HarzerHeribert/webMCP	0	0	false	2026-08-29T10:06:25Z	2026-08-31T16:22:57Z	TypeScript	A compiler from human intent to a live, bounded WebMCP tool contract. Relay CRM is the host demo.	https://webmcp-weld.vercel.app	https://github.com/HarzerHeribert/webMCP
haxlys/frontend-lab	0	0	false	2026-06-08T11:30:32Z	2026-06-09T08:14:46Z	TypeScript			https://github.com/haxlys/frontend-lab
HiAbhishekh/first-key	0	0	false	2026-09-01T09:15:15Z	2026-09-01T09:24:41Z	TypeScript	Shared first-apartment desk. The clerk may pin and draft. The clerk cannot send.		https://github.com/HiAbhishekh/first-key
himomohi/pixelforge-studio	0	0	false	2026-08-31T07:46:47Z	2026-08-31T10:17:58Z	TypeScript	WebMCP-native pixel art editor for people and AI agents	https://pixelforge-studio.appcaster.chatgpt.site	https://github.com/himomohi/pixelforge-studio
HusseinMayla/Pixael	0	0	false	2026-08-30T16:10:34Z	2026-08-30T17:36:52Z	TypeScript		https://pixael.vercel.app	https://github.com/HusseinMayla/Pixael
HuyDoan-2112/webmcp-superweb	0	0	false	2026-08-28T05:57:17Z	2026-09-01T19:38:49Z	TypeScript	SuperWeb — WebMCP tools that let an internal dashboard explain itself, and refuse to publish a number it can't vouch for. OpenAI WebMCP Challenge.	https://webmcp-superweb.vercel.app	https://github.com/HuyDoan-2112/webmcp-superweb
IAbyAndre/coffee-shop	0	0	false	2026-08-08T01:03:39Z	2026-08-08T01:03:46Z	HTML	WebMCP coffee shop demo (The Morning Ritual) - AI agents browse catalog, reorder, and analyze bean specs		https://github.com/IAbyAndre/coffee-shop
Iamthekin/linelab-rehearse-the-rush	0	0	false	2026-09-02T04:47:23Z	2026-09-02T04:49:21Z	TypeScript	A human and AI rehearsal studio for event crowd flow, built with WebMCP.		https://github.com/Iamthekin/linelab-rehearse-the-rush
ibrinzila/signalui-interface-on-demand	0	0	false	2026-08-27T06:58:00Z	2026-08-27T07:39:01Z	TypeScript	Governed adaptive interfaces where humans and WebMCP agents share capabilities, authority, evidence, and state.		https://github.com/ibrinzila/signalui-interface-on-demand
Idk507/PaperPilot	0	0	false	2026-08-26T17:11:37Z	2026-08-30T16:06:26Z	Python			https://github.com/Idk507/PaperPilot
iiils3/ResolveRelay	0	0	false	2026-08-28T00:48:24Z	2026-09-02T09:32:53Z	TypeScript			https://github.com/iiils3/ResolveRelay
IKala4I/AI-IT-News	0	0	false	2026-06-20T17:42:35Z	2026-09-01T17:54:12Z				https://github.com/IKala4I/AI-IT-News
IrrealV/supplymesh-webmcp	0	0	false	2026-08-27T19:21:44Z	2026-09-01T21:46:34Z	TypeScript			https://github.com/IrrealV/supplymesh-webmcp
isorobo/obsidian-agents	0	0	false	2026-07-10T05:33:32Z	2026-08-13T07:57:17Z	Mermaid	An obsidian vault collating on a cron schedule all things interesting about AI Agents		https://github.com/isorobo/obsidian-agents
ItsPriyamSri/second-click	0	0	false	2026-08-30T18:15:17Z	2026-09-02T04:00:51Z	TypeScript	Second Click: a WebMCP download-trap course. Agent peels and paints; only a human starts the dummy file.		https://github.com/ItsPriyamSri/second-click
itxshakil/ediary	0	1	false	2020-05-04T04:12:58Z	2026-08-16T08:23:37Z	Blade	E-diary is a privacy-friendly e-diary Website that securely saves your diary. TRY NOW FOR FREE!!!	http://ediary.shakiltech.com	https://github.com/itxshakil/ediary
ivonsmatos/vedium	0	0	false	2026-01-13T09:59:03Z	2026-09-01T21:47:18Z	Python			https://github.com/ivonsmatos/vedium
JackMeds/sizhu-astro-ai	0	0	false	2026-06-14T02:08:52Z	2026-09-02T06:45:56Z	TypeScript			https://github.com/JackMeds/sizhu-astro-ai
JacobLinCool/Hear-My-Site	0	0	false	2026-08-27T20:51:11Z	2026-08-28T21:56:44Z	TypeScript	Let agents hear websites through WebMCP.	https://hear-my-site-meeting-demo.jacob.workers.dev	https://github.com/JacobLinCool/Hear-My-Site
JacobLinCool/PaperSpace	0	0	false	2026-08-28T19:29:48Z	2026-08-28T20:42:38Z	TypeScript			https://github.com/JacobLinCool/PaperSpace
jagreehal/playwright-cookbook	0	0	false	2026-06-16T08:00:26Z	2026-08-31T21:16:17Z	MDX		https://jagreehal.github.io/playwright-cookbook/	https://github.com/jagreehal/playwright-cookbook
jagreehal/webmcpable	0	0	false	2026-08-29T18:36:44Z	2026-09-02T06:24:43Z	TypeScript	Let AI agents use your web app. WebMCP tools that mirror what the user can actually do right now.		https://github.com/jagreehal/webmcpable
Jerome-Group/patchpath	0	0	false	2026-08-28T12:15:38Z	2026-09-02T08:03:11Z	TypeScript	Turns public GitHub repositories into visual, evidence-linked routes to a first contribution.		https://github.com/Jerome-Group/patchpath
JEROME-PRAKASH-L/community-tool-library-webmcp	0	0	false	2026-08-26T11:23:21Z	2026-08-30T05:41:30Z	JavaScript	AI-assisted community tool library with approval-gated reservations exposed through WebMCP.	https://community-tool-library-webmcp.vercel.app/	https://github.com/JEROME-PRAKASH-L/community-tool-library-webmcp
jeromeetienne/webmcp_everywhere	0	0	false	2026-08-20T15:43:21Z	2026-09-02T04:36:24Z	TypeScript			https://github.com/jeromeetienne/webmcp_everywhere
JesseRWeigel/night-sky-atlas	0	0	false	2026-07-13T00:46:54Z	2026-08-30T16:36:11Z	JavaScript	An open, time-aware planetarium with deep-sky survey imagery and object data	https://jesserweigel.github.io/night-sky-atlas/	https://github.com/JesseRWeigel/night-sky-atlas
jianwang-ntu/sieve-webmcp	0	0	false	2026-08-26T11:03:28Z	2026-08-27T01:11:57Z	JavaScript	Sieve - an agent-native screening desk built for The WebMCP Challenge. An agent may propose any screening decision and may never enact one.	https://jianwang-ntu.github.io/sieve-webmcp/	https://github.com/jianwang-ntu/sieve-webmcp
JiayiV/question_mixing	0	0	false	2026-03-27T02:29:14Z	2026-08-25T08:34:01Z				https://github.com/JiayiV/question_mixing
jivishov/assaylens	0	0	false	2026-07-03T02:58:18Z	2026-09-02T00:05:38Z	TypeScript			https://github.com/jivishov/assaylens
jivishov/RoboBuddy_IDE	0	0	false	2026-08-28T04:43:32Z	2026-08-31T20:43:09Z	JavaScript			https://github.com/jivishov/RoboBuddy_IDE
jochenkirstaetter/getblogged	0	0	false	2026-08-13T13:53:14Z	2026-09-01T16:34:33Z	CSS	Get Blogged by JoKi		https://github.com/jochenkirstaetter/getblogged
Joe-Simo/paradox-webmcp	0	0	false	2026-08-26T13:44:45Z	2026-08-29T07:17:56Z	TypeScript	Paradox — deterministic temporal correctness testing for human-agent WebMCP applications	https://www.paradoxwebmcp.com	https://github.com/Joe-Simo/paradox-webmcp
jonasneves/stl-webmcp	0	0	false	2026-08-29T19:39:15Z	2026-08-29T19:47:49Z		Browser-native STL viewer and CSG authoring studio with WebMCP tool support	http://jonasneves.com/stl-webmcp/	https://github.com/jonasneves/stl-webmcp
jonasneves/webmcp	0	0	false	2026-02-14T21:44:20Z	2026-08-30T16:09:49Z		Browser-side runtime for the WebMCP spec (navigator.modelContext) — a page exposes its own UI as typed tools, and the agent loop runs client-side with no backend	https://jonasneves.com/webmcp/	https://github.com/jonasneves/webmcp
JorgeLRW/Heap4	0	0	false	2026-09-01T16:49:39Z	2026-09-01T19:53:42Z	TypeScript			https://github.com/JorgeLRW/Heap4
josecortesmadrid/caredesk-webmcp	0	0	false	2026-08-31T16:10:50Z	2026-08-31T16:54:39Z	JavaScript			https://github.com/josecortesmadrid/caredesk-webmcp
joshuaswarren/remnic-canvas	0	0	false	2026-08-26T15:11:16Z	2026-08-27T15:45:36Z	TypeScript	Shared memory for you and your browser agent, on one web page. WebMCP + Remnic. OpenAI WebMCP Challenge entry.		https://github.com/joshuaswarren/remnic-canvas
joshuatonga/nodebook	0	0	false	2026-09-01T16:48:14Z	2026-09-02T09:20:07Z	TypeScript	A local-first visual workspace shared by people and external agents through WebMCP.	https://nodebook.tinyinternet.dev/	https://github.com/joshuatonga/nodebook
JoviDeCroock/forklight	0	0	false	2026-08-28T05:21:17Z	2026-08-28T08:45:04Z	TypeScript	Rehearse the fix before shipping it — an agent-native incident-response canvas built on pracht + WebMCP		https://github.com/JoviDeCroock/forklight
JustinJLeopard/common-ground-webmcp	0	0	false	2026-09-02T04:14:11Z	2026-09-02T04:14:50Z	JavaScript	A fixed community budget an agent can reason about but never move. Five typed, read-only WebMCP tools propose; only a person applies.		https://github.com/JustinJLeopard/common-ground-webmcp
jwlai-cloud/airlock-webmcp	0	0	false	2026-09-01T03:15:40Z	2026-09-02T09:15:17Z	HTML	Two origins. One agent. No rows cross the boundary. WebMCP cross-origin clean room.		https://github.com/jwlai-cloud/airlock-webmcp
jwlai-cloud/webmcp-cleanroom-spike	0	0	false	2026-09-01T01:39:02Z	2026-09-01T01:40:41Z	HTML	WebMCP cross-origin tool composition spike (exposedTo / fromOrigins / executeTool)		https://github.com/jwlai-cloud/webmcp-cleanroom-spike
K-naman-T/webmcp-mapper	0	0	false	2026-08-30T00:33:03Z	2026-08-30T01:16:21Z	TypeScript			https://github.com/K-naman-T/webmcp-mapper
kasyap1234/web-mcp-site	0	0	false	2026-09-02T04:29:21Z	2026-09-02T04:30:21Z	TypeScript			https://github.com/kasyap1234/web-mcp-site
KavehRS/logbook.rocks	0	0	false	2026-08-19T18:41:10Z	2026-08-31T10:30:04Z	HTML			https://github.com/KavehRS/logbook.rocks
kazani-351/baton-webmcp	0	0	false	2026-08-31T09:54:40Z	2026-09-01T09:42:07Z	JavaScript			https://github.com/kazani-351/baton-webmcp
kazuki-0724/webnote	0	0	false	2026-07-26T02:05:27Z	2026-08-25T15:29:58Z	HTML			https://github.com/kazuki-0724/webnote
keyuchen21/pi-webmcp-guard	0	0	false	2026-08-29T16:17:07Z	2026-08-29T21:19:46Z	TypeScript	Security-first WebMCP client for the Pi coding agent		https://github.com/keyuchen21/pi-webmcp-guard
koralle/daily-tech-blog	0	0	false	2025-06-29T13:56:55Z	2026-08-23T10:41:39Z	TypeScript		https://blog.koralle-mgmg.com/	https://github.com/koralle/daily-tech-blog
koralle/pantry	0	0	false	2026-02-25T15:49:23Z	2026-08-31T03:01:19Z	TypeScript	A minimalist, tag-based bookmark manager for personal web resource storage.		https://github.com/koralle/pantry
Kotakageyama/webMCP	0	0	false	2026-09-01T10:28:06Z	2026-09-01T12:23:59Z	TypeScript			https://github.com/Kotakageyama/webMCP
kpsr01/countrylab_webmcp	0	0	false	2026-09-01T12:03:02Z	2026-09-01T17:51:45Z	TypeScript		https://countrylab.vercel.app	https://github.com/kpsr01/countrylab_webmcp
kpsr01/web_mcp_hack	0	0	false	2026-08-26T07:14:16Z	2026-08-26T19:42:40Z	TypeScript			https://github.com/kpsr01/web_mcp_hack
kreddevils18/floor-studio-webmcp	0	0	false	2026-08-31T04:35:42Z	2026-09-01T01:31:46Z	TypeScript	Agent-native browser floor designer with WebMCP, Rust/WASM geometry, and WebGPU rendering		https://github.com/kreddevils18/floor-studio-webmcp
Kulikowski/agents-talking-to-each-other	0	0	false	2026-07-12T13:42:43Z	2026-07-13T09:38:37Z	JavaScript	Exploratory demo of interactions between Extension-based/Browser-agent and on-site agents		https://github.com/Kulikowski/agents-talking-to-each-other
kurotanshi/kuro-roasters-webmcp	0	0	false	2026-04-24T10:58:17Z	2026-09-01T06:45:13Z	HTML	WebMCP demo: Kuro Roasters coffee shop with Gemini function calling	https://kuro.tw/kuro-roasters-webmcp/	https://github.com/kurotanshi/kuro-roasters-webmcp
l0cka/policai	0	0	false	2026-01-20T12:06:32Z	2026-09-01T19:34:37Z	TypeScript	Australian AI Policy Tracker - Aggregates and visualises AI policy developments across federal and state jurisdictions	https://policai.org	https://github.com/l0cka/policai
leaflanellc/socialsum-webmcp	0	0	false	2026-09-01T17:07:58Z	2026-09-02T00:57:51Z	TypeScript	Shared decision rooms for people and their agents, built with WebMCP	https://www.socialsum.com	https://github.com/leaflanellc/socialsum-webmcp
lewisawe/mahaba	0	0	false	2026-08-26T11:49:37Z	2026-09-01T13:38:59Z	TypeScript			https://github.com/lewisawe/mahaba
LFLQ222/healthy-record-webmcp	0	0	false	2026-08-28T17:23:49Z	2026-08-29T00:05:55Z	TypeScript			https://github.com/LFLQ222/healthy-record-webmcp
liha-app/live-preview	0	0	false	2026-08-31T08:23:28Z	2026-09-02T08:00:51Z	TypeScript	A review session your agent can join. Share a build at a stable URL; reviewers click the element they mean; an agent reads the source behind it, resizes their preview, and replies in the thread — over WebMCP, MCP and a JSON CLI.	https://github.com/liha-app/live-preview	https://github.com/liha-app/live-preview
liha-app/webmcp-adapter	0	0	false	2026-09-01T08:09:58Z	2026-09-02T09:05:40Z	TypeScript	Make any website agent-ready. Add WebMCP tools to sites that never implemented WebMCP, via declarative, origin-scoped, auditable adapters.	https://webmcp-adopter.liha.dev	https://github.com/liha-app/webmcp-adapter
LihanCanCode/Co-shop	0	0	false	2026-08-28T10:45:58Z	2026-09-02T07:42:00Z	TypeScript		https://co-shop-puce.vercel.app	https://github.com/LihanCanCode/Co-shop
lukeocodes/webmcp-check	0	0	false	2026-06-12T13:43:35Z	2026-06-12T15:47:21Z	TypeScript	Check whether a website exposes WebMCP tools the way an AI agent's browser would discover them.		https://github.com/lukeocodes/webmcp-check
m24927605/incident-relay	0	0	false	2026-08-29T00:45:32Z	2026-08-29T04:06:27Z	TypeScript	Agent-native SRE incident response workbench with guarded WebMCP mitigations	https://m24927605.github.io/incident-relay/	https://github.com/m24927605/incident-relay
maceip/marble-madness-3d	0	0	false	2026-09-01T23:41:43Z	2026-09-02T09:12:56Z	JavaScript	3D WebGL isometric recreation of Marble Madness with physical terrain dynamics, mobile rotameter tilt controls, high-resolution environments, and hosted multiplayer.		https://github.com/maceip/marble-madness-3d
MachaLvl99/netslum-hackathon	0	0	false	2026-08-30T12:10:16Z	2026-09-02T07:02:33Z	TypeScript			https://github.com/MachaLvl99/netslum-hackathon
malikkotb/Shell-Core	0	0	false	2026-08-26T12:42:55Z	2026-08-26T12:47:56Z	TypeScript			https://github.com/malikkotb/Shell-Core
MariamBodokia/nexusops	0	0	false	2026-08-30T12:59:24Z	2026-09-01T20:51:17Z	TypeScript		https://nexusops-nu.vercel.app	https://github.com/MariamBodokia/nexusops
markneville/trusted-webmcp-actions	0	0	false	2026-08-26T00:37:17Z	2026-08-26T01:52:31Z	TypeScript	Verifiable authority for consequential WebMCP browser-agent actions.	https://markneville.github.io/trusted-webmcp-actions/	https://github.com/markneville/trusted-webmcp-actions
MarkNwilliam/gulawo-webmcp	0	0	false	2026-09-01T12:25:10Z	2026-09-01T16:39:27Z	TypeScript	WebMCP-powered tender workflow: an AI agent and a human contractor collaborate inside Gulawo (WebMCP Challenge)		https://github.com/MarkNwilliam/gulawo-webmcp
maro20066600/sanctum	0	0	false	2026-08-29T19:24:48Z	2026-09-02T02:32:24Z	JavaScript		https://sanctum-madvs.vercel.app	https://github.com/maro20066600/sanctum
matansocher/portfolio	0	0	false	2022-06-07T10:32:44Z	2026-08-26T10:37:20Z	HTML			https://github.com/matansocher/portfolio
mathieuworoniecki/safeshare-webmcp	0	0	false	2026-09-01T08:03:47Z	2026-09-01T10:19:46Z	TypeScript	Local-first PDF and image redaction with privacy-preserving WebMCP tools.	https://mathieuworoniecki.github.io/safeshare-webmcp/	https://github.com/mathieuworoniecki/safeshare-webmcp
mattiacurri/mattiacurri.github.io	0	0	false	2023-04-17T19:37:49Z	2026-07-22T10:48:47Z	Astro			https://github.com/mattiacurri/mattiacurri.github.io
mauriciolauffer/gymlogger	0	0	false	2026-08-23T09:28:29Z	2026-09-02T08:20:26Z	TypeScript			https://github.com/mauriciolauffer/gymlogger
MauricioPerera/fastwebmcp	0	0	false	2026-08-30T16:03:53Z	2026-08-31T20:40:59Z	TypeScript	FastMCP-style ergonomics for WebMCP: typed Zod builders over the browser's Imperative and Declarative APIs, with safe no-op degradation and a real-execute mock for testing.	https://www.npmjs.com/package/fastwebmcp	https://github.com/MauricioPerera/fastwebmcp
meganetaaan/stack-chan-stage	0	0	false	2026-08-29T15:21:58Z	2026-09-01T13:06:20Z	TypeScript		https://meganetaaan.github.io/stack-chan-stage/	https://github.com/meganetaaan/stack-chan-stage
mehdyhaghy/tincan-webmcp	0	0	false	2026-08-27T19:55:46Z	2026-08-30T03:13:28Z	TypeScript	A privacy-safe WebMCP diagnostic channel for semantic website failures		https://github.com/mehdyhaghy/tincan-webmcp
mihirduvedi/mechanism-canvas	0	0	false	2026-08-28T15:31:32Z	2026-09-02T00:15:48Z	TypeScript	A shared organic chemistry workspace for learners and WebMCP agents.	https://mihirduvedi.github.io/mechanism-canvas/	https://github.com/mihirduvedi/mechanism-canvas
miko-kortelainen/guess-the-word-webmcp	0	0	false	2026-08-26T14:17:22Z	2026-08-26T15:58:15Z	TypeScript		https://guess-the-word-webmcp.vercel.app	https://github.com/miko-kortelainen/guess-the-word-webmcp
Milothik/olfaria-webmcp	0	0	false	2026-08-27T04:23:20Z	2026-08-28T23:40:34Z	JavaScript			https://github.com/Milothik/olfaria-webmcp
mirrorsecai/mirror-webmcp-secure	0	0	false	2026-09-02T03:29:26Z	2026-09-02T06:05:53Z	JavaScript	A privacy and authorization layer for native WebMCP tools, with a real encrypted two-agent procurement flow.	https://mirror-webmcp-secure.vercel.app	https://github.com/mirrorsecai/mirror-webmcp-secure
MisfitMEdiAhouse/Misfit-media-designer-lite	0	0	false	2025-09-13T04:30:35Z	2026-09-02T06:06:49Z	JavaScript		https://misfit-media-designer-lite.vercel.app	https://github.com/MisfitMEdiAhouse/Misfit-media-designer-lite
mkwatson/film-the-gap	0	0	false	2026-08-27T16:58:13Z	2026-08-28T21:35:08Z	TypeScript	ChatGPT finds real products, identifies what listings cannot prove, and asks anyone with the product to film one reusable answer.	https://film-the-gap.vercel.app	https://github.com/mkwatson/film-the-gap
MOHAMEM1/HACHATHON-1	0	0	false	2026-08-31T19:13:45Z	2026-09-01T17:57:40Z	JavaScript			https://github.com/MOHAMEM1/HACHATHON-1
molidestroyer/webmcp-local-agent	0	0	false	2026-08-27T12:11:46Z	2026-09-01T15:23:01Z	JavaScript	Chrome MV3 extension that lets local Ollama models call the WebMCP tools exposed by the current page. Side panel chat with dynamic model discovery and full tool calling.		https://github.com/molidestroyer/webmcp-local-agent
mozilla-releng/staging-firefox	0	1	false	2025-05-01T15:05:50Z	2026-07-02T16:36:38Z	JavaScript	staging version of https://github.com/mozilla-firefox/firefox; mainly used for testing landoscript; explicitly not a fork of the real repository		https://github.com/mozilla-releng/staging-firefox
mskutlu/webmcp-duet	0	0	false	2026-08-29T15:33:22Z	2026-08-30T13:10:53Z	TypeScript	Duet — human + agent co-operate one live commerce workflow via WebMCP (OpenAI Devpost WebMCP Challenge entry)		https://github.com/mskutlu/webmcp-duet
mtsmfm/webmcp-cloud-relay	0	0	false	2026-09-01T10:43:28Z	2026-09-02T09:21:09Z	TypeScript		https://relay.webmcp-cloud-relay.workers.dev/	https://github.com/mtsmfm/webmcp-cloud-relay
mylokaye/OpenForm	0	0	false	2026-08-25T21:32:19Z	2026-08-31T08:31:33Z	JavaScript			https://github.com/mylokaye/OpenForm
Nakasar/joutes-app	0	0	false	2025-08-29T21:23:02Z	2026-09-01T19:26:18Z	TypeScript	Une application de ligues et d'affrontements de proximité sur différents jeux.	https://joutes.app	https://github.com/Nakasar/joutes-app
Napster/omniagent-api-skills	0	1	false	2026-05-26T16:38:56Z	2026-08-19T13:53:18Z	JavaScript	Official Claude Code plugin (and Agent Skills package) for building with the Napster Omniagent API — works in Claude Code, Cursor, Codex, and other Agent Skills–compatible tools		https://github.com/Napster/omniagent-api-skills
narcisoJavier/larp-portfolio-vc	0	0	false	2026-03-22T20:55:56Z	2026-08-30T20:05:49Z	TypeScript	Over-engineered my personal site so you don't have to. A 3D interactive playground with Next.js, Three.js, and a built-in typing game because why not? 🎮🚀	https://narcisojavier.vercel.app	https://github.com/narcisoJavier/larp-portfolio-vc
natzarich/servo	0	0	false	2026-07-14T07:47:30Z	2026-07-14T08:03:47Z	Rust	Servo aims to empower developers with a lightweight, high-performance alternative for embedding web technologies in applications.	https://servo.org	https://github.com/natzarich/servo
nbobby07/curbcut	0	0	false	2026-08-27T04:22:17Z	2026-09-02T04:10:55Z	TypeScript	Browser-native accessibility repair workbench for developers and external agents using WebMCP.	https://curbcut-one.vercel.app	https://github.com/nbobby07/curbcut
NeuroGhostDev/booster_mcp	0	0	false	2026-03-09T14:10:04Z	2026-09-02T07:55:16Z	Python	Booster MCP is an MCP server for semantic code analysis, repository mapping, and large codebase navigation. This release prepares the project for public use with a cleaner package identity, bundled agent skills, and a smoother out-of-the-box experience.		https://github.com/NeuroGhostDev/booster_mcp
NewyorkDev/lander5-webmcp	0	0	false	2026-08-31T05:32:11Z	2026-08-31T21:09:04Z	JavaScript	Agent-ready cleaning reservation sandbox for the WebMCP Challenge		https://github.com/NewyorkDev/lander5-webmcp
